,State full,County,American Indian or Alaska Native,White,Black
0,Maine,ANDROSCOGGIN,46,17156,319
1,Maine,AROOSTOOK,214,14819,61
2,Maine,CUMBERLAND,327,71840,1363
3,Maine,FRANKLIN,13,6469,11
4,Maine,HANCOCK,39,14842,46
5,Maine,KENNEBEC,82,26333,131
6,Maine,KNOX,21,11593,39
7,Maine,LINCOLN,14,10889,20
8,Maine,OXFORD,29,12338,43
9,Maine,PENOBSCOT,226,34987,217
10,Maine,PISCATAQUIS,22,3904,4
11,Maine,SAGADAHOC,25,8784,47
12,Maine,SOMERSET,51,8973,23
13,Maine,WALDO,28,9786,26
14,Maine,WASHINGTON,476,6118,24
15,Maine,YORK,120,45148,250