Variable,Description,Source,Data Field,count,mean,std,min,0.25,0.5,0.75,max
CVD,Covid vaccination disparity between White and Black populations in county i.,Department of Health in each state,Vax_DisparityY,756,12.119,10.355,-18.168,4.922,10.451,17.757,53.842
FVD,Flu vaccination disparity between White and Black populations in county i.,CMS Mapping Medical Disparity Tool (https://data.cms.gov/mapping-medicare-disparities),FluVax_DisparityY,756,15.185,6.445,-12,12,16,19,37
Median Income,Household median income (in thousands) in county i.,2019 ACS 5-Year Estimates Subject Tables,MedianIncome,756,58.448,16.597,27.063,48.006,54.517,64.081,142.299
Median Income Disparity,Household median income disparity (in thousands) between White and Black populations in county i.,2019 ACS 5-Year Estimates Subject Tables,MedianIncome_Disparity,756,21.003,16.109,-67.705,13.66,21.828,29.514,112.332
High School Graduation Rate,Rate of high school or above education attainment in county i.,2019 ACS 5-Year Estimates Subject Tables,HighSchool_Rate,756,86.931,5.305,61.8,83.975,87.9,90.9,96.8
High School Disparity,High school or above education attainment disparity between White and Black populations in county i.,2019 ACS 5-Year Estimates Subject Tables,HighSchool_Disparity,756,6.762,7.881,-30.3,2.4,6.2,10.7,42.2
Health Facilities Per Capita,Number of potential health facilities which provide COVID-19 vaccine per person in county i.,VaxMap 2.0 (https://www.westhealth.org/resource/vaxmap-potential-covid-19-vaccine-locations/),FacNumRate,756,0.024,0.012,0,0.017,0.021,0.026,0.098
COVID-19 Cases Per Capita,Number of COVID-19 cases per person in county i by April 19th of 2021,The Center for Systems Science and Engineering (CSSE) at Johns Hopkins University (https://github.com/CSSEGISandData/COVID-19),CaseRate,756,9.469,2.657,2.235,7.72,9.527,11.116,24.159
Home IT Rate,Rate of computer ownership and internet in the home in county i.,2019 ACS 5-Year Estimates Subject Tables,IT_Rate,756,82.684,7.053,55.6,78.775,83.4,87.6,97
Home IT Disparity,Computer ownership and internet in the home disparity between White and Black populations in county i.,2019 ACS 5-Year Estimates Subject Tables,IT_Disparity,756,8.308,10.52,-21.9,2.1,7.7,14,72.3
Urban,Dummy variable that equals 1 if county i is located in an urban area.,CMS Mapping Medical Disparity Tool (https://data.cms.gov/mapping-medicare-disparities),urban,756,0.603,0.49,0,0,1,1,1
Rate of Vehicle Ownership,Rate of households with vehicles in county i.,CDC Social Vulnerability Index (https://www.atsdr.cdc.gov/placeandhealth/svi/index.html),vehicle,756,92.914,4.962,23,91.8,93.7,95.2,98.6
Political Ideology,Rate of people who voted Republican in 2020 presidential election in county i.,USA Today (https://www.usatoday.com/in-depth/graphics/2020/11/10/election-maps-2020-america-county-results-more-voters/6226197002/),republican_rate,756,58.749,16.065,11.249,48.08,60.414,71.55,89.324
Segregation Index,The degree to which Black and White groups live separately from one another in county i.,2021 County Health Rankings (https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/social-and-economic-factors/family-social-support/residential-segregation-blackwhite),Segregation,756,44.852,16.125,0.041,33.277,45.831,56.441,86.159
Racial Bias,Weighted implicit racial bias in county i.,Data from Riddle and Sinclair (2019; https://osf.io/pu79a/),racial_weighted_bias,756,39.993,1.879,31.156,39.199,40.177,40.888,44.453
Vaccine Hesitancy,COVID-19 vaccine hesitancy in county i.,Department of Health and Human Services; Office of the Assistant Secretary for Planning and Evaluation (https://aspe.hhs.gov/pdf-report/vaccine-hesitancy),hesitancy,756,17.677,3.798,7,15,18,20,27
Proportion of Black Residents,Proportion of black residents in county i.,County Population by Characteristics: 2010-2019 (https://www.census.gov/data/tables/time-series/demo/popest/2010s-counties-detail.html),Black_Prop,756,12.397,13.136,0.541,3.103,7.429,16.913,76.973
Flu Vaccination Rate,Rate of flu vaccination among Medicare beneficiaries in county i.,CMS Mapping Medical Disparity Tool (https://data.cms.gov/mapping-medicare-disparities),FluVax_Rate,756,47.622,7.552,19,43,49,53,65
Flu Vaccination Disparity,Flu vaccination disparity between White and Black Medicare beneficiaries in county i.,CMS Mapping Medical Disparity Tool (https://data.cms.gov/mapping-medicare-disparities),FluVax_Disparity,756,15.185,6.445,-12,12,16,19,37
Proportion of Pop. Above Age 75,Rate of  Age >=75 population in county i.,County Population by Characteristics: 2010-2019 (https://www.census.gov/data/tables/time-series/demo/popest/2010s-counties-detail.html),Above75_Rate,756,7.68,1.844,3.515,6.469,7.697,8.758,17.853
Above Age 75 Disparity,Age >= 75 population disparity between white and black people in county i.,County Population by Characteristics: 2010-2019 (https://www.census.gov/data/tables/time-series/demo/popest/2010s-counties-detail.html),Above75_Disparity,756,4.583,2.452,-4.481,3.099,4.717,5.966,17.401
Proportion of Pop. Above Age 15 Below 74,Rate of  15 <= age <= 74 population in county i.,County Population by Characteristics: 2010-2019 (https://www.census.gov/data/tables/time-series/demo/popest/2010s-counties-detail.html),A15T74_Rate,756,74.389,2.144,65.922,73.19,74.299,75.436,83.149
Age 15 <= Age <= 74 Disparity,15 <= age <= 74 population disparity between white and black people in county i.,County Population by Characteristics: 2010-2019 (https://www.census.gov/data/tables/time-series/demo/popest/2010s-counties-detail.html),A15T74_Disparity,756,-0.433,4.311,-20.894,-1.974,0.064,1.996,17.11
Test Positivity,Rate of Nucleic Acid Amplification Tests (NAATs) positivity in county i.,CDC COVID-19 Integrated County View (https://covid.cdc.gov/covid-data-tracker/#county-view),Positivity,756,6.334,3.765,0,3.828,5.76,8.433,26.08