State,# of Counties,Population (million),# of Valid Counties,Population in Analysis (million),Data Source
California,54,39.45,43,39.09,https://covid19.ca.gov/vaccines/#California-vaccines-dashboard
Illinois,100,12.46,41,11.41,https://www.dph.illinois.gov/covid19/vaccinedata?county=Illinois
Indiana,88,6.62,37,5.31,https://www.coronavirus.in.gov/vaccine/2680.htm
Maine,16,1.34,8,1.01,https://www.maine.gov/covid19/vaccines/dashboard
New Jersey,21,8.88,21,8.88,https://www.nj.gov/health/cd/topics/covid2019_dashboard.shtml
New York,62,19.45,48,18.79,https://covid19vaccine.health.ny.gov/covid-19-vaccine-tracker
North Carolina,43,8.56,43,8.56,https://covid19.ncdhhs.gov/dashboard/data-behind-dashboards
Ohio,88,11.69,57,10.57,https://coronavirus.ohio.gov/wps/portal/gov/covid-19/dashboards/covid-19-vaccine/covid-19-vaccination-dashboard
Oregon,23,4.05,11,3.22,https://public.tableau.com/profile/oregon.health.authority.covid.19#!/vizhome/OregonCOVID-19VaccinationTrends/OregonCountyVaccinationTrends
Pennsylvania,60,12.68,40,11.66,https://www.health.pa.gov/topics/disease/coronavirus/Vaccine/Pages/Vaccine.aspx
South Carolina,46,5.15,46,5.15,https://scdhec.gov/covid19/covid-19-vaccination-dashboard
Tennessee,90,6.77,62,6.11,https://www.tn.gov/health/cedep/ncov/data/downloadable-datasets.html
Texas,236,27.66,137,26.71,https://tabexternal.dshs.texas.gov/t/THD/views/COVID-19VaccineinTexasDashboard/Summary?%3Aorigin=card_share_link&%3Aembed=y&%3AisGuestRedirectFromVizportal=y
Virginia,132,8.53,111,8.21,https://www.vdh.virginia.gov/coronavirus/covid-19-vaccine-demographics/
West Virginia,55,1.79,23,1.27,https://dhhr.wv.gov/COVID-19/Pages/default.aspx
Wisconsin,72,5.82,28,4.69,https://www.dhs.wisconsin.gov/covid-19/vaccine-data.htm#day
Sum,1186,180.92,756,170.65,