GEOID,state,county,percent_new_test_results_reported_positive_7_day_rolling_average
45005,SC,Allendale County,25.0
45007,SC,Anderson County,19.81
45009,SC,Bamberg County,0.0
45011,SC,Barnwell County,22.11
45013,SC,Beaufort County,18.22
45015,SC,Berkeley County,15.82
45017,SC,Calhoun County,22.22
45019,SC,Charleston County,7.36
45021,SC,Cherokee County,10.32
45023,SC,Chester County,33.02
45025,SC,Chesterfield County,26.65
45027,SC,Clarendon County,58.55
45029,SC,Colleton County,20.49
45031,SC,Darlington County,41.86
45033,SC,Dillon County,42.5
45035,SC,Dorchester County,7.33
45037,SC,Edgefield County,66.83
45039,SC,Fairfield County,13.79
45041,SC,Florence County,39.4
45043,SC,Georgetown County,34.52
45045,SC,Greenville County,21.99
45047,SC,Greenwood County,28.34
45049,SC,Hampton County,27.9
45051,SC,Horry County,13.87
45053,SC,Jasper County,13.11
45055,SC,Kershaw County,17.94
45057,SC,Lancaster County,14.32
45059,SC,Laurens County,22.18
45061,SC,Lee County,32.31
45063,SC,Lexington County,31.29
45067,SC,Marion County,36.74
45069,SC,Marlboro County,30.07
45065,SC,McCormick County,51.0
45071,SC,Newberry County,27.35
45073,SC,Oconee County,8.49
45075,SC,Orangeburg County,12.43
45077,SC,Pickens County,5.8100000000000005
45079,SC,Richland County,39.37
45081,SC,Saluda County,29.42
45083,SC,Spartanburg County,13.61
45085,SC,Sumter County,49.71
45087,SC,Union County,11.67
45089,SC,Williamsburg County,38.49
45091,SC,York County,25.71
47001,TN,Anderson County,1.97
47003,TN,Bedford County,29.95
47005,TN,Benton County,2.86
47007,TN,Bledsoe County,19.25
47009,TN,Blount County,1.6099999999999999
47011,TN,Bradley County,12.2
47013,TN,Campbell County,1.77
47015,TN,Cannon County,25.54
47017,TN,Carroll County,2.83
47019,TN,Carter County,2.2
47021,TN,Cheatham County,3.05
47023,TN,Chester County,10.88
47025,TN,Claiborne County,0.0
47027,TN,Clay County,2.08
47029,TN,Cocke County,3.07
47031,TN,Coffee County,4.88
47033,TN,Crockett County,7.26
47035,TN,Cumberland County,2.9
47037,TN,Davidson County,14.59
47039,TN,Decatur County,8.33
47041,TN,DeKalb County,0.76
47043,TN,Dickson County,13.81
47045,TN,Dyer County,4.41
47047,TN,Fayette County,7.07
47049,TN,Fentress County,15.58
47051,TN,Franklin County,1.58
47053,TN,Gibson County,8.8
47055,TN,Giles County,7.34
47057,TN,Grainger County,0.0
47059,TN,Greene County,6.9
47061,TN,Grundy County,21.16
47063,TN,Hamblen County,3.13
47065,TN,Hamilton County,3.03
47067,TN,Hancock County,0.0
47069,TN,Hardeman County,0.84
47071,TN,Hardin County,1.25
47073,TN,Hawkins County,7.8
47075,TN,Haywood County,1.79
47077,TN,Henderson County,3.37
47079,TN,Henry County,1.21
47081,TN,Hickman County,0.75
47083,TN,Houston County,0.0
47085,TN,Humphreys County,1.02
47087,TN,Jackson County,0.0
47089,TN,Jefferson County,1.5
47091,TN,Johnson County,0.0
47093,TN,Knox County,2.38
47095,TN,Lake County,4.69
47097,TN,Lauderdale County,10.54
47099,TN,Lawrence County,4.63
47101,TN,Lewis County,0.0
47103,TN,Lincoln County,1.77
47105,TN,Loudon County,4.7
47111,TN,Macon County,2.88
47113,TN,Madison County,12.57
47115,TN,Marion County,1.9
47117,TN,Marshall County,15.37
47119,TN,Maury County,1.54
47107,TN,McMinn County,0.29
47109,TN,McNairy County,0.0
47121,TN,Meigs County,1.85
47123,TN,Monroe County,2.77
47125,TN,Montgomery County,4.41
47127,TN,Moore County,20.2
47129,TN,Morgan County,1.3
47131,TN,Obion County,1.94
47133,TN,Overton County,14.86
47135,TN,Perry County,25.0
47137,TN,Pickett County,0.0
47139,TN,Polk County,0.0
47141,TN,Putnam County,5.53
47143,TN,Rhea County,5.38
47145,TN,Roane County,1.23
47147,TN,Robertson County,12.39
47149,TN,Rutherford County,13.79
47151,TN,Scott County,16.88
47153,TN,Sequatchie County,0.0
47155,TN,Sevier County,0.73
47157,TN,Shelby County,12.54
47159,TN,Smith County,3.7199999999999998
47161,TN,Stewart County,3.6
47163,TN,Sullivan County,4.18
47165,TN,Sumner County,20.12
47167,TN,Tipton County,6.84
47169,TN,Trousdale County,2.75
47171,TN,Unicoi County,0.0
47173,TN,Union County,0.0
47175,TN,Van Buren County,0.0
47177,TN,Warren County,0.0
47179,TN,Washington County,3.99
47181,TN,Wayne County,4.29
47183,TN,Weakley County,2.04
47185,TN,White County,0.0
47187,TN,Williamson County,8.33
47189,TN,Wilson County,14.68
48001,TX,Anderson County,65.73
48003,TX,Andrews County,16.89
48005,TX,Angelina County,4.76
48007,TX,Aransas County,0.0
48009,TX,Archer County,0.0
48011,TX,Armstrong County,0.0
48013,TX,Atascosa County,20.0
48015,TX,Austin County,0.0
48017,TX,Bailey County,0.0
48019,TX,Bandera County,0.0
48021,TX,Bastrop County,10.58
48023,TX,Baylor County,0.0
48025,TX,Bee County,10.95
48027,TX,Bell County,19.64
48029,TX,Bexar County,14.63
48031,TX,Blanco County,0.0
48033,TX,Borden County,0.0
48035,TX,Bosque County,8.33
48037,TX,Bowie County,17.76
48039,TX,Brazoria County,16.75
48041,TX,Brazos County,13.44
48043,TX,Brewster County,0.0
48045,TX,Briscoe County,0.0
48047,TX,Brooks County,0.0
48049,TX,Brown County,0.0
48051,TX,Burleson County,0.0
48053,TX,Burnet County,13.1
48055,TX,Caldwell County,8.23
48057,TX,Calhoun County,24.17
48059,TX,Callahan County,0.0
48061,TX,Cameron County,13.48
48063,TX,Camp County,0.0
48065,TX,Carson County,0.0
48067,TX,Cass County,37.5
48069,TX,Castro County,0.0
48071,TX,Chambers County,6.67
48073,TX,Cherokee County,0.0
48075,TX,Childress County,0.0
48077,TX,Clay County,0.0
48079,TX,Cochran County,0.0
48081,TX,Coke County,0.0
48083,TX,Coleman County,0.0
48085,TX,Collin County,7.31
48087,TX,Collingsworth County,0.0
48089,TX,Colorado County,1.85
48091,TX,Comal County,3.61
48093,TX,Comanche County,0.0
48095,TX,Concho County,0.0
48097,TX,Cooke County,0.0
48099,TX,Coryell County,24.56
48101,TX,Cottle County,0.0
48103,TX,Crane County,0.0
48105,TX,Crockett County,0.0
48107,TX,Crosby County,0.0
48109,TX,Culberson County,0.0
48111,TX,Dallam County,0.0
48113,TX,Dallas County,17.18
48115,TX,Dawson County,37.62
48117,TX,Deaf Smith County,0.0
48119,TX,Delta County,0.0
48121,TX,Denton County,10.82
48123,TX,DeWitt County,8.33
48125,TX,Dickens County,0.0
48127,TX,Dimmit County,0.0
48129,TX,Donley County,0.0
48131,TX,Duval County,0.0
48133,TX,Eastland County,0.0
48135,TX,Ector County,8.36
48137,TX,Edwards County,0.0
48141,TX,El Paso County,10.86
48139,TX,Ellis County,13.16
48143,TX,Erath County,0.0
48145,TX,Falls County,0.0
48147,TX,Fannin County,12.93
48149,TX,Fayette County,15.19
48151,TX,Fisher County,0.0
48153,TX,Floyd County,0.0
48155,TX,Foard County,0.0
48157,TX,Fort Bend County,9.99
48159,TX,Franklin County,0.0
48161,TX,Freestone County,27.78
48163,TX,Frio County,0.0
48165,TX,Gaines County,0.0
48167,TX,Galveston County,39.1
48169,TX,Garza County,0.0
48171,TX,Gillespie County,0.0
48173,TX,Glasscock County,0.0
48175,TX,Goliad County,0.0
48177,TX,Gonzales County,33.33
48179,TX,Gray County,30.83
48181,TX,Grayson County,1.35
48183,TX,Gregg County,2.83
48185,TX,Grimes County,6.94
48187,TX,Guadalupe County,4.91
48189,TX,Hale County,16.33
48191,TX,Hall County,0.0
48193,TX,Hamilton County,11.11
48195,TX,Hansford County,0.0
48197,TX,Hardeman County,0.0
48199,TX,Hardin County,57.78
48201,TX,Harris County,12.69
48203,TX,Harrison County,35.95
48205,TX,Hartley County,100.0
48207,TX,Haskell County,0.0
48209,TX,Hays County,10.23
48211,TX,Hemphill County,0.0
48213,TX,Henderson County,8.93
48215,TX,Hidalgo County,5.52
48217,TX,Hill County,8.71
48219,TX,Hockley County,0.0
48221,TX,Hood County,25.0
48223,TX,Hopkins County,0.0
48225,TX,Houston County,0.0
48227,TX,Howard County,0.0
48229,TX,Hudspeth County,0.0
48231,TX,Hunt County,9.18
48233,TX,Hutchinson County,0.0
48235,TX,Irion County,0.0
48237,TX,Jack County,0.0
48239,TX,Jackson County,0.0
48241,TX,Jasper County,0.0
48243,TX,Jeff Davis County,100.0
48245,TX,Jefferson County,12.39
48247,TX,Jim Hogg County,0.0
48249,TX,Jim Wells County,0.0
48251,TX,Johnson County,8.14
48253,TX,Jones County,0.0
48255,TX,Karnes County,0.0
48257,TX,Kaufman County,5.99
48259,TX,Kendall County,0.0
48261,TX,Kenedy County,0.0
48263,TX,Kent County,0.0
48265,TX,Kerr County,0.4
48267,TX,Kimble County,0.0
48269,TX,King County,0.0
48271,TX,Kinney County,0.0
48273,TX,Kleberg County,2.38
48275,TX,Knox County,0.0
48283,TX,La Salle County,0.0
48277,TX,Lamar County,0.0
48279,TX,Lamb County,0.0
48281,TX,Lampasas County,0.0
48285,TX,Lavaca County,0.0
48287,TX,Lee County,0.0
48289,TX,Leon County,0.0
48291,TX,Liberty County,5.95
48293,TX,Limestone County,5.16
48295,TX,Lipscomb County,0.0
48297,TX,Live Oak County,0.0
48299,TX,Llano County,0.0
48301,TX,Loving County,0.0
48303,TX,Lubbock County,16.17
48305,TX,Lynn County,35.29
48313,TX,Madison County,0.0
48315,TX,Marion County,0.0
48317,TX,Martin County,0.0
48319,TX,Mason County,0.0
48321,TX,Matagorda County,7.7
48323,TX,Maverick County,8.33
48307,TX,McCulloch County,0.0
48309,TX,McLennan County,5.06
48311,TX,McMullen County,0.0
48325,TX,Medina County,0.0
48327,TX,Menard County,0.0
48329,TX,Midland County,4.88
48331,TX,Milam County,11.19
48333,TX,Mills County,0.0
48335,TX,Mitchell County,0.0
48337,TX,Montague County,0.0
48339,TX,Montgomery County,8.81
48341,TX,Moore County,54.65
48343,TX,Morris County,0.0
48345,TX,Motley County,0.0
48347,TX,Nacogdoches County,31.27
48349,TX,Navarro County,6.35
48351,TX,Newton County,0.0
48353,TX,Nolan County,10.0
48355,TX,Nueces County,5.57
48357,TX,Ochiltree County,0.0
48359,TX,Oldham County,0.0
48361,TX,Orange County,62.5
48363,TX,Palo Pinto County,0.0
48365,TX,Panola County,26.14
48367,TX,Parker County,7.65
48369,TX,Parmer County,0.0
48371,TX,Pecos County,0.0
48373,TX,Polk County,6.55
48375,TX,Potter County,18.62
48377,TX,Presidio County,0.0
48379,TX,Rains County,0.0
48381,TX,Randall County,13.59
48383,TX,Reagan County,0.0
48385,TX,Real County,0.0
48387,TX,Red River County,0.0
48389,TX,Reeves County,0.0
48391,TX,Refugio County,0.0
48393,TX,Roberts County,100.0
48395,TX,Robertson County,0.0
48397,TX,Rockwall County,7.02
48399,TX,Runnels County,0.0
48401,TX,Rusk County,18.29
48403,TX,Sabine County,0.0
48405,TX,San Augustine County,6.25
48407,TX,San Jacinto County,0.0
48409,TX,San Patricio County,0.0
48411,TX,San Saba County,0.0
48413,TX,Schleicher County,0.0
48415,TX,Scurry County,0.0
48417,TX,Shackelford County,0.0
48419,TX,Shelby County,48.67
48421,TX,Sherman County,50.0
48423,TX,Smith County,4.92
48425,TX,Somervell County,0.0
48427,TX,Starr County,0.0
48429,TX,Stephens County,0.0
48431,TX,Sterling County,0.0
48433,TX,Stonewall County,0.0
48435,TX,Sutton County,0.0
48437,TX,Swisher County,10.0
48439,TX,Tarrant County,15.02
48441,TX,Taylor County,11.87
48443,TX,Terrell County,0.0
48445,TX,Terry County,0.0
48447,TX,Throckmorton County,0.0
48449,TX,Titus County,11.9
48451,TX,Tom Green County,2.66
48453,TX,Travis County,10.13
48455,TX,Trinity County,0.0
48457,TX,Tyler County,0.0
48459,TX,Upshur County,0.0
48461,TX,Upton County,0.0
48463,TX,Uvalde County,11.67
48465,TX,Val Verde County,0.0
48467,TX,Van Zandt County,7.14
48469,TX,Victoria County,8.09
48471,TX,Walker County,63.54
48473,TX,Waller County,15.16
48475,TX,Ward County,0.0
48477,TX,Washington County,64.86
48479,TX,Webb County,16.22
48481,TX,Wharton County,7.8100000000000005
48483,TX,Wheeler County,0.0
48485,TX,Wichita County,2.88
48487,TX,Wilbarger County,0.0
48489,TX,Willacy County,20.0
48491,TX,Williamson County,4.63
48493,TX,Wilson County,18.24
48495,TX,Winkler County,0.0
48497,TX,Wise County,0.0
48499,TX,Wood County,0.0
48501,TX,Yoakum County,0.0
48503,TX,Young County,0.0
48505,TX,Zapata County,0.0
48507,TX,Zavala County,0.0
51001,VA,Accomack County,37.92
51003,VA,Albemarle County,9.0
51510,VA,Alexandria City,35.55
51005,VA,Alleghany County,3.5700000000000003
51007,VA,Amelia County,21.43
51009,VA,Amherst County,0.0
51011,VA,Appomattox County,0.0
51013,VA,Arlington County,47.6
51015,VA,Augusta County,16.41
51017,VA,Bath County,0.0
51019,VA,Bedford County,3.56
51021,VA,Bland County,0.0
51023,VA,Botetourt County,15.0
51520,VA,Bristol City,0.0
51025,VA,Brunswick County,12.38
51027,VA,Buchanan County,7.14
51029,VA,Buckingham County,19.25
51530,VA,Buena Vista City,0.0
51031,VA,Campbell County,0.0
51033,VA,Caroline County,21.44
51035,VA,Carroll County,0.0
51036,VA,Charles City County,0.0
51037,VA,Charlotte County,1.85
51540,VA,Charlottesville City,4.5
51550,VA,Chesapeake City,12.17
51041,VA,Chesterfield County,22.64
51043,VA,Clarke County,0.0
51570,VA,Colonial Heights City,33.9
51580,VA,Covington City,0.0
51045,VA,Craig County,0.0
51047,VA,Culpeper County,22.79
51049,VA,Cumberland County,7.62
51590,VA,Danville City,9.57
51051,VA,Dickenson County,0.0
51053,VA,Dinwiddie County,15.73
51595,VA,Emporia City,0.0
51057,VA,Essex County,7.4
51600,VA,Fairfax City,0.0
51059,VA,Fairfax County,35.83
51610,VA,Falls Church City,25.45
51061,VA,Fauquier County,19.32
51063,VA,Floyd County,0.0
51065,VA,Fluvanna County,19.67
51620,VA,Franklin City,18.09
51067,VA,Franklin County,1.67
51069,VA,Frederick County,13.5
51630,VA,Fredericksburg City,10.0
51640,VA,Galax City,0.0
51071,VA,Giles County,0.0
51073,VA,Gloucester County,8.57
51075,VA,Goochland County,31.29
51077,VA,Grayson County,0.0
51079,VA,Greene County,7.49
51081,VA,Greensville County,54.17
51083,VA,Halifax County,4.62
51650,VA,Hampton City,8.22
51085,VA,Hanover County,33.52
51660,VA,Harrisonburg City,48.19
51087,VA,Henrico County,28.75
51089,VA,Henry County,10.58
51091,VA,Highland County,0.0
51670,VA,Hopewell City,23.0
51093,VA,Isle of Wight County,27.14
51095,VA,James City County,8.28
51097,VA,King and Queen County,0.0
51099,VA,King George County,6.12
51101,VA,King William County,0.0
51103,VA,Lancaster County,0.0
51105,VA,Lee County,0.0
51678,VA,Lexington City,0.0
51107,VA,Loudoun County,25.1
51109,VA,Louisa County,9.57
51111,VA,Lunenburg County,0.0
51680,VA,Lynchburg City,6.7
51113,VA,Madison County,20.0
51683,VA,Manassas City,53.26
51685,VA,Manassas Park City,85.24
51690,VA,Martinsville City,0.0
51115,VA,Mathews County,0.0
51117,VA,Mecklenburg County,14.16
51119,VA,Middlesex County,0.0
51121,VA,Montgomery County,8.89
51125,VA,Nelson County,4.76
51127,VA,New Kent County,22.86
51700,VA,Newport News City,7.0
51710,VA,Norfolk City,9.86
51131,VA,Northampton County,12.41
51133,VA,Northumberland County,3.5700000000000003
51720,VA,Norton City,13.33
51135,VA,Nottoway County,11.79
51137,VA,Orange County,6.25
51139,VA,Page County,11.52
51141,VA,Patrick County,0.0
51730,VA,Petersburg City,9.41
51143,VA,Pittsylvania County,6.46
51735,VA,Poquoson City,0.0
51740,VA,Portsmouth City,25.25
51145,VA,Powhatan County,8.33
51147,VA,Prince Edward County,9.41
51149,VA,Prince George County,5.5600000000000005
51153,VA,Prince William County,34.45
51155,VA,Pulaski County,14.31
51750,VA,Radford City,0.0
51157,VA,Rappahannock County,0.0
51760,VA,Richmond City,17.15
51159,VA,Richmond County,33.35
51770,VA,Roanoke City,1.78
51161,VA,Roanoke County,18.68
51163,VA,Rockbridge County,0.0
51165,VA,Rockingham County,44.72
51167,VA,Russell County,0.0
51775,VA,Salem City,10.95
51169,VA,Scott County,5.36
51171,VA,Shenandoah County,29.28
51173,VA,Smyth County,2.08
51175,VA,Southampton County,45.9
51177,VA,Spotsylvania County,15.83
51179,VA,Stafford County,24.92
51790,VA,Staunton City,14.09
51800,VA,Suffolk City,26.65
51181,VA,Surry County,4.76
51183,VA,Sussex County,42.76
51185,VA,Tazewell County,0.0
51810,VA,Virginia Beach City,6.55
51187,VA,Warren County,14.2
51191,VA,Washington County,4.24
51820,VA,Waynesboro City,20.0
51193,VA,Westmoreland County,5.16
51830,VA,Williamsburg City,0.0
51840,VA,Winchester City,4.3
51195,VA,Wise County,18.01
51197,VA,Wythe County,6.94
51199,VA,York County,17.6
54001,WV,Barbour County,0.0
54003,WV,Berkeley County,7.69
54005,WV,Boone County,1.5899999999999999
54007,WV,Braxton County,0.0
54009,WV,Brooke County,2.38
54011,WV,Cabell County,3.26
54013,WV,Calhoun County,0.0
54015,WV,Clay County,0.0
54017,WV,Doddridge County,0.0
54019,WV,Fayette County,5.25
54021,WV,Gilmer County,0.0
54023,WV,Grant County,0.0
54025,WV,Greenbrier County,0.0
54027,WV,Hampshire County,3.5700000000000003
54029,WV,Hancock County,0.0
54031,WV,Hardy County,0.0
54033,WV,Harrison County,4.74
54035,WV,Jackson County,32.82
54037,WV,Jefferson County,8.39
54039,WV,Kanawha County,10.72
54041,WV,Lewis County,0.0
54043,WV,Lincoln County,0.0
54045,WV,Logan County,3.22
54049,WV,Marion County,5.13
54051,WV,Marshall County,1.71
54053,WV,Mason County,3.21
54047,WV,McDowell County,0.0
54055,WV,Mercer County,0.0
54057,WV,Mineral County,27.36
54059,WV,Mingo County,4.52
54061,WV,Monongalia County,8.34
54063,WV,Monroe County,14.17
54065,WV,Morgan County,1.5899999999999999
54067,WV,Nicholas County,0.29
54069,WV,Ohio County,3.55
54071,WV,Pendleton County,0.0
54073,WV,Pleasants County,6.67
54075,WV,Pocahontas County,0.0
54077,WV,Preston County,9.94
54079,WV,Putnam County,5.77
54081,WV,Raleigh County,0.79
54083,WV,Randolph County,0.0
54085,WV,Ritchie County,0.0
54087,WV,Roane County,0.0
54089,WV,Summers County,0.0
54091,WV,Taylor County,3.5700000000000003
54093,WV,Tucker County,0.0
54095,WV,Tyler County,0.0
54097,WV,Upshur County,4.76
54099,WV,Wayne County,15.73
54101,WV,Webster County,0.0
54103,WV,Wetzel County,0.0
54105,WV,Wirt County,13.33
54107,WV,Wood County,8.75
54109,WV,Wyoming County,0.0
55001,WI,Adams County,14.64
55003,WI,Ashland County,0.0
55005,WI,Barron County,0.0
55007,WI,Bayfield County,4.76
55009,WI,Brown County,29.78
55011,WI,Buffalo County,3.5700000000000003
55013,WI,Burnett County,0.0
55015,WI,Calumet County,0.0
55017,WI,Chippewa County,2.66
55019,WI,Clark County,12.65
55021,WI,Columbia County,2.86
55023,WI,Crawford County,0.0
55025,WI,Dane County,4.91
55027,WI,Dodge County,0.53
55029,WI,Door County,0.0
55031,WI,Douglas County,0.0
55033,WI,Dunn County,0.38
55035,WI,Eau Claire County,1.9300000000000002
55037,WI,Florence County,0.0
55039,WI,Fond du Lac County,2.76
55041,WI,Forest County,0.0
55043,WI,Grant County,7.39
55045,WI,Green County,0.0
55047,WI,Green Lake County,8.24
55049,WI,Iowa County,5.95
55051,WI,Iron County,0.0
55053,WI,Jackson County,3.06
55055,WI,Jefferson County,8.45
55057,WI,Juneau County,7.14
55059,WI,Kenosha County,18.44
55061,WI,Kewaunee County,24.76
55063,WI,La Crosse County,0.4
55065,WI,Lafayette County,0.0
55067,WI,Langlade County,0.0
55069,WI,Lincoln County,0.0
55071,WI,Manitowoc County,10.48
55073,WI,Marathon County,1.67
55075,WI,Marinette County,2.38
55077,WI,Marquette County,4.76
55078,WI,Menominee County,0.0
55079,WI,Milwaukee County,16.91
55081,WI,Monroe County,5.8
55083,WI,Oconto County,2.98
55085,WI,Oneida County,0.0
55087,WI,Outagamie County,2.55
55089,WI,Ozaukee County,2.05
55091,WI,Pepin County,0.0
55093,WI,Pierce County,0.0
55095,WI,Polk County,1.02
55097,WI,Portage County,0.0
55099,WI,Price County,0.0
55101,WI,Racine County,15.82
55103,WI,Richland County,6.35
55105,WI,Rock County,12.2
55107,WI,Rusk County,4.17
55111,WI,Sauk County,3.66
55113,WI,Sawyer County,0.0
55115,WI,Shawano County,1.3
55117,WI,Sheboygan County,9.35
55109,WI,St. Croix County,3.9
55119,WI,Taylor County,0.0
55121,WI,Trempealeau County,0.0
55123,WI,Vernon County,0.0
55125,WI,Vilas County,0.0
55127,WI,Walworth County,22.98
55129,WI,Washburn County,2.38
55131,WI,Washington County,7.51
55133,WI,Waukesha County,9.56
55135,WI,Waupaca County,0.0
55137,WI,Waushara County,0.0
55139,WI,Winnebago County,4.02
55141,WI,Wood County,1.5899999999999999
