GEOID,FQHC Count,FacDensity10K,HOPD count,PHMCY Count,RUHC Count
01001,1,2.1479,1,10,0
01003,5,2.5086,3,48,0
01005,2,3.2407,1,5,0
01007,6,4.912,1,4,0
01009,1,2.9398999999999997,0,8,8
01011,0,4.95,1,2,2
01013,0,3.5993,2,4,1
01015,2,3.2569,3,30,2
01017,1,3.3079,0,10,0
01019,1,3.8174,1,7,1
01021,2,2.2508,1,6,1
01023,1,3.1774,0,2,1
01025,0,4.6567,2,7,2
01027,1,8.3113,1,3,6
01029,1,2.0121,0,2,0
01031,1,2.2926,1,10,0
01033,1,2.8964,2,12,1
01035,2,4.9722,1,2,1
01037,1,2.8135,0,0,2
01039,0,4.0487,2,11,2
01041,1,2.9044,1,1,1
01043,1,3.8201,1,26,4
01045,1,1.2202,1,4,0
01047,2,4.0327,1,12,0
01049,3,3.0764,1,13,5
01051,1,2.8322000000000003,1,20,1
01053,2,3.5487,2,9,0
01055,8,3.3246,2,24,0
01057,0,3.0671,1,4,0
01059,1,2.2319999999999998,1,4,1
01061,2,3.0452,1,5,0
01063,1,3.6987,1,1,0
01065,1,4.0953,1,4,0
01067,1,1.7437,0,2,0
01069,1,3.0222,2,29,0
01071,5,3.4866,1,9,3
01073,22,2.8243,9,155,0
01075,1,3.6219,0,3,1
01077,2,2.6959999999999997,1,22,0
01079,1,2.7336,1,5,2
01081,0,2.2487,1,35,1
01083,1,2.0219,1,16,2
01085,1,1.0282,0,0,0
01087,1,2.2139,0,2,1
01089,9,2.4939,2,82,0
01091,2,4.2411,1,4,1
01093,0,3.7026,2,9,0
01095,1,3.2033,1,27,2
01097,23,2.7347,5,83,2
01099,2,3.8586,1,5,0
01101,8,2.6492,3,49,0
01103,2,2.5903,1,28,0
01105,3,5.6035,0,2,0
01107,4,4.013999999999999,1,3,0
01109,1,3.0199,1,8,0
01111,1,3.9609,1,5,2
01113,1,1.7252999999999998,1,7,1
01115,0,2.1226,1,18,0
01117,1,2.3427,1,48,1
01119,1,2.4141,0,2,0
01121,1,2.3757,2,16,0
01123,0,2.9727,2,10,0
01125,3,2.0539,1,39,0
01127,5,3.7782999999999998,1,17,1
01129,1,1.225,0,0,1
01131,2,4.8202,1,2,0
01133,2,3.3857,1,5,0
04001,1,0.5564,0,3,0
04003,11,2.303,1,17,0
04005,10,2.1606,1,20,0
04007,2,2.0364,1,8,0
04009,2,2.5749,1,6,1
04011,2,2.1057,0,0,0
04012,0,2.3688000000000002,0,4,1
04013,66,1.7301,33,677,0
04015,7,2.0737,4,33,0
04017,4,1.9832999999999998,1,17,0
04019,38,2.0625,8,170,0
04021,18,1.4045,4,43,0
04023,5,2.1506,0,5,0
04025,4,1.7014,2,34,0
04027,9,1.45,1,20,1
05001,1,5.147,1,7,0
05003,6,5.0872,0,4,0
05005,0,1.9079000000000002,1,7,0
05007,7,1.9703,2,44,2
05009,1,1.8700999999999999,1,5,0
05011,1,2.7873,0,2,0
05013,1,3.8543,0,1,0
05015,1,2.1142,0,5,0
05017,5,5.93,0,0,1
05019,2,3.5842,0,6,0
05021,1,5.4979,0,5,2
05023,1,4.013,0,6,3
05025,1,3.7707,0,1,1
05027,0,2.9842,1,5,1
05029,1,2.8783,0,2,3
05031,4,3.2629,2,27,3
05033,2,2.2132,1,9,2
05035,4,2.7109,0,8,1
05037,3,4.2634,0,4,0
05039,0,2.8535,0,2,0
05041,0,4.401,0,4,1
05043,3,3.8421,1,3,0
05045,3,2.9363,2,27,5
05047,0,2.8225,0,5,0
05049,1,5.6103,0,3,3
05051,2,3.0185,2,26,0
05053,0,1.6425,0,3,0
05055,1,3.0888,1,11,1
05057,2,3.7154,1,4,1
05059,3,2.665,1,4,1
05061,0,1.5149,0,2,0
05063,3,3.4369,1,8,1
05065,2,3.6686,0,2,1
05067,2,4.1869,0,5,0
05069,3,2.2447,1,11,0
05071,2,2.6338,1,3,1
05073,1,3.0193,0,1,0
05075,1,3.0477,0,3,1
05077,1,2.2580999999999998,0,1,0
05079,4,3.8391,0,1,0
05081,0,2.4472,0,3,0
05083,1,3.261,0,4,2
05085,6,2.8646000000000003,0,15,0
05087,2,2.4131,0,2,0
05089,2,2.3961,0,2,0
05091,3,2.3118,0,7,0
05093,1,2.952,1,9,1
05095,2,5.9693000000000005,0,2,0
05097,3,5.5642,0,1,1
05099,0,1.2118,0,1,0
05101,2,2.5796,0,0,0
05103,1,3.8491,1,7,0
05105,0,0.9565,0,0,1
05107,4,6.7484,1,4,3
05109,0,2.799,0,2,1
05111,2,3.8252,0,6,1
05113,3,4.0072,1,4,0
05115,1,2.4972,1,13,1
05117,2,3.7212,0,1,0
05119,7,2.6536999999999997,8,89,0
05121,1,2.7843,1,3,0
05123,2,2.8007,1,4,0
05125,1,1.7151999999999998,1,19,0
05127,1,4.8633,0,4,0
05129,1,2.5377,0,0,1
05131,5,2.7381,2,28,0
05133,2,2.94,0,3,0
05135,1,3.44,0,5,0
05137,1,3.1985,0,3,0
05139,1,2.3266999999999998,1,7,0
05141,2,3.6265,0,4,0
05143,11,2.7593,3,52,0
05145,7,2.7935,1,14,0
05147,6,11.0759,0,1,0
05149,0,1.8742999999999999,1,3,0
06001,113,1.7292,12,164,0
06003,0,0.0,0,0,0
06005,1,2.0125,1,5,1
06007,6,1.7793,3,28,2
06009,0,1.0892,0,5,0
06011,2,1.8564,0,1,1
06013,33,1.4043999999999999,7,122,0
06015,2,2.8765,1,5,0
06017,4,1.7112,2,26,1
06019,72,2.0218,6,110,14
06021,2,2.4654,0,3,2
06023,22,3.7622,2,23,4
06025,8,1.7659,2,20,2
06027,0,2.2174,0,4,0
06029,51,1.9550999999999998,7,109,9
06031,16,2.2885,1,17,1
06033,1,1.2425,0,6,1
06035,5,2.9438,0,4,0
06037,419,1.5419999999999998,73,1055,1
06039,19,2.3518,1,16,1
06041,17,1.8932,3,29,0
06043,0,2.3252,0,3,1
06045,13,3.5735,1,16,1
06047,18,2.0167,2,31,5
06049,0,3.3933,0,2,1
06051,0,1.3847,0,2,0
06053,21,1.8660999999999999,4,54,2
06055,6,1.5972,2,14,0
06057,4,2.0049,1,15,0
06059,68,1.7225000000000001,21,458,0
06061,5,1.7322,3,60,1
06063,0,1.5952,0,3,0
06065,69,1.4612,15,276,1
06067,42,1.4175,8,170,0
06069,1,1.4329,1,7,0
06071,50,1.3073000000000001,14,217,4
06073,162,1.6206,15,364,0
06075,64,2.0532,9,108,0
06077,25,1.3646,7,70,2
06079,19,1.9074,3,32,0
06081,21,1.3176,7,73,0
06083,44,2.262,4,53,0
06085,61,1.4109,10,201,0
06087,18,1.9399,3,32,0
06089,30,3.4984,4,26,3
06091,1,3.3278,0,0,0
06093,14,5.742000000000001,0,7,4
06095,20,1.5413999999999999,4,45,0
06097,32,1.8813,6,55,0
06099,33,1.925,5,64,4
06101,7,2.475,1,16,0
06103,3,2.1511,1,8,2
06105,1,1.6280000000000001,0,1,0
06107,51,2.4024,3,52,6
06109,0,1.4685000000000001,1,7,0
06111,48,2.0804,6,121,1
06113,17,1.9955,2,25,0
06115,5,1.7795999999999998,1,7,1
08001,12,1.2756,5,49,0
08003,4,6.7763,1,6,0
08005,8,1.6905999999999999,4,99,0
08007,0,2.1384,0,3,0
08009,0,2.7925,0,0,1
08011,2,7.1723,0,1,1
08013,6,1.6861000000000002,4,45,0
08014,0,1.5611000000000002,0,11,0
08015,1,3.93,0,7,0
08017,0,5.4615,1,0,0
08019,0,1.0309,0,1,0
08021,2,3.6563,0,1,0
08023,1,2.5727,0,0,0
08025,1,4.9497,0,1,1
08027,0,3.9463,0,0,2
08029,1,1.9254,1,4,0
08031,49,1.8977,6,83,0
08033,1,4.8662,0,0,0
08035,1,1.2814999999999999,3,41,0
08037,3,2.5396,1,10,0
08039,1,1.4965,0,2,1
08041,17,1.7351,2,106,0
08043,2,1.8813,1,5,1
08045,4,2.4975,1,10,0
08047,0,0.0,0,0,0
08049,0,1.2711000000000001,0,2,0
08051,0,1.7180000000000002,0,3,0
08053,0,12.1951,0,0,1
08055,1,1.4499,0,0,0
08057,0,0.0,0,0,0
08059,10,1.6813,4,84,0
08061,0,7.1124,0,1,0
08063,1,2.8181000000000003,0,1,0
08065,4,6.1523,0,1,0
08067,2,2.1344,2,8,0
08069,7,1.9333,4,58,0
08071,2,3.4468,0,3,0
08073,1,5.2622,0,2,0
08075,1,3.1237,1,5,0
08077,6,2.0102,3,22,0
08079,0,0.0,0,0,0
08081,2,4.5171,0,4,0
08083,2,2.6734999999999998,0,5,0
08085,2,3.0404,1,9,1
08087,8,4.8163,1,5,0
08089,2,3.2826,0,3,1
08091,0,2.0194,0,1,0
08093,1,1.0613,0,1,0
08095,0,4.6893,0,2,0
08097,1,2.2514,0,3,0
08099,6,8.2156,0,4,0
08101,12,2.2561999999999998,2,24,0
08103,0,1.5813000000000001,0,1,0
08105,1,1.7751000000000001,0,1,0
08107,2,3.5103999999999997,1,6,0
08109,3,4.3962,0,0,0
08111,0,0.0,0,0,0
08113,1,1.2226,0,0,0
08115,0,0.0,0,0,0
08117,10,5.8044,1,7,0
08119,1,1.9694,0,4,0
08121,0,2.0375,0,1,0
08123,11,1.5101,1,37,0
08125,0,0.9981,0,1,0
09001,80,2.4912,6,149,0
09003,90,2.7251,6,147,0
09005,9,2.5507999999999997,2,35,0
09007,28,3.8785,1,34,0
09009,96,3.112,7,163,0
09011,19,2.7149,2,51,0
09013,9,2.0568,2,20,0
09015,9,2.7401,2,21,0
10001,2,1.77,1,29,0
10003,7,1.9687000000000001,2,101,0
10005,6,2.5189,3,50,0
11001,72,2.7063,7,112,0
12001,4,2.4531,2,52,8
12003,0,2.0541,1,5,0
12005,4,2.5758,2,36,3
12007,2,2.4822,0,4,1
12009,9,2.2594,7,119,1
12011,20,1.9306,15,342,0
12013,1,1.4179,0,0,1
12015,3,2.1174,3,34,0
12017,6,3.0069,2,33,4
12019,3,1.6876,2,32,0
12021,15,2.2603,2,70,0
12023,3,3.3479,2,14,5
12027,8,3.9473000000000003,1,6,0
12029,1,2.3773,0,2,1
12031,12,1.9838,7,171,0
12033,14,2.3876,3,58,1
12035,1,2.0855,1,21,1
12037,3,4.1237,0,2,0
12039,4,2.1901,0,6,0
12041,2,1.6145,0,1,0
12043,1,1.4481,0,0,1
12045,3,5.8655,1,3,1
12047,0,1.3862,0,2,0
12049,2,2.9699,0,4,2
12051,2,2.3797,0,8,0
12053,2,2.4237,2,42,1
12055,1,2.3536,2,16,6
12057,23,2.1672,10,286,0
12059,1,2.5488,0,0,4
12061,9,2.8764,2,35,0
12063,2,1.9391,1,4,2
12065,0,1.4039,0,2,0
12067,1,2.3747,0,1,0
12069,5,2.4243,3,73,8
12071,23,2.271,4,147,1
12073,8,1.8734,2,44,1
12075,2,4.0961,1,9,5
12077,1,2.3941,0,1,0
12079,1,3.2445,0,4,1
12081,22,2.7774,3,87,0
12083,10,2.1336,2,59,7
12085,2,2.1739,1,31,1
12086,191,2.65,21,508,0
12087,4,3.7721999999999998,1,23,0
12089,0,1.9182000000000001,1,15,1
12091,5,2.1828,3,38,0
12093,3,2.6086,1,7,0
12095,19,1.8372000000000002,3,234,0
12097,10,2.1025,2,67,0
12099,20,2.2716,12,306,2
12101,16,2.1121,6,95,0
12103,16,2.2872,10,197,0
12105,14,2.0144,6,125,1
12107,5,2.818,1,10,5
12109,3,1.8891,1,46,0
12111,6,1.7972000000000001,2,51,0
12113,2,1.7362,3,26,1
12115,8,2.3977,4,92,0
12117,4,1.8227,2,80,0
12119,2,2.19,2,23,2
12121,2,2.4765,0,7,2
12123,1,4.6363,1,6,2
12125,1,1.3126,0,1,0
12127,8,2.0966,5,103,0
12129,1,1.482,0,4,0
12131,6,3.1051,2,14,1
12133,1,1.5703,0,3,0
13001,1,3.2634,1,4,0
13003,1,2.4495,0,1,0
13005,1,2.6872,0,2,0
13007,1,3.2916,0,0,0
13009,5,3.1187,1,7,1
13011,2,3.1195,0,4,0
13013,2,1.4416,1,9,0
13015,1,1.3923,1,13,0
13017,1,3.5928,1,4,0
13019,1,2.5777,1,3,0
13021,7,3.0034,3,36,0
13023,1,3.1073,0,3,0
13025,1,1.5699,0,2,0
13027,1,1.2939,0,1,0
13029,1,2.5235,0,8,1
13031,1,2.0098,1,13,1
13033,2,3.1274,1,3,1
13035,1,1.2031,0,2,0
13037,1,4.8473,0,2,0
13039,1,2.0122,1,9,0
13043,1,4.6283,0,4,0
13045,1,1.9167999999999998,2,18,2
13047,2,2.5155,1,14,0
13049,2,3.7336,0,3,0
13051,17,2.9023,3,64,0
13053,3,3.6673999999999998,1,0,0
13055,1,2.4204,0,5,0
13057,2,1.7003,1,41,0
13059,3,2.9611,2,33,0
13061,0,0.0,0,0,0
13063,5,1.2318,1,30,0
13065,0,1.5110000000000001,0,1,0
13067,3,1.8418,3,134,0
13069,4,2.7731,1,7,0
13071,4,3.2895,1,8,2
13073,0,1.9781,0,31,0
13075,1,3.4742,1,4,0
13077,1,2.0201,2,26,1
13079,1,1.6124,0,1,0
13081,6,5.8108,1,6,0
13083,1,1.8615,0,2,0
13085,1,3.0642,0,6,1
13087,3,3.7873,1,6,0
13089,14,1.8175,4,120,0
13091,1,3.3971999999999998,1,5,0
13093,2,2.2405,0,1,0
13095,15,4.3203,1,22,0
13097,1,2.1866,1,30,0
13099,2,3.9254,0,2,0
13101,1,2.4963,0,0,0
13103,0,1.2442,0,8,0
13105,1,4.689,1,5,2
13107,3,3.5326,1,3,1
13109,1,5.6317,1,4,0
13111,3,4.2004,1,7,0
13113,0,2.4471,1,27,0
13115,0,1.929,2,17,0
13117,2,1.392,1,31,0
13119,1,2.998,1,5,0
13121,21,2.2182,9,206,0
13123,2,2.8691,0,6,1
13125,1,3.3659,0,0,0
13127,2,2.5794,1,19,0
13129,0,1.8978000000000002,1,10,0
13131,0,2.8417,1,6,0
13133,3,3.8201,0,4,0
13135,6,1.6341999999999999,2,145,0
13137,1,2.8680000000000003,1,11,0
13139,1,1.9566,1,38,0
13141,1,1.1825,0,0,0
13143,0,2.3496,0,7,0
13145,1,0.8514,0,2,0
13147,1,2.2896,0,5,0
13149,0,0.0,0,0,0
13151,0,1.9184999999999999,1,44,0
13153,4,2.2171,2,29,0
13155,3,6.3721,1,2,0
13157,2,2.3295,1,14,0
13159,0,1.4066,0,2,0
13161,0,1.9848,0,3,0
13163,3,4.5567,1,3,0
13165,1,2.3052,0,1,0
13167,2,2.074,0,0,0
13169,1,1.392,0,3,0
13171,1,2.0968,0,3,0
13173,0,0.9594,0,1,0
13175,1,1.6825999999999999,1,6,0
13177,1,1.3336999999999999,0,3,0
13179,3,2.2788,0,11,0
13181,0,1.2625,0,1,0
13183,2,1.0225,0,0,0
13185,2,2.0442,1,21,0
13187,1,1.1901,1,2,0
13189,0,2.3461,1,4,0
13191,1,2.0865,0,2,0
13193,2,3.8619,0,3,0
13195,2,2.008,0,4,0
13197,0,0.0,0,0,0
13199,2,2.8346,0,4,0
13201,0,3.4977,0,2,0
13205,0,2.7443999999999997,0,6,0
13207,2,2.1756,0,4,0
13209,1,1.0903,0,0,0
13211,0,1.5563,0,3,0
13213,2,1.9952,1,5,0
13215,2,1.8900000000000001,2,33,0
13217,0,1.5213,1,16,0
13219,0,1.9861,0,8,0
13221,1,0.6554,0,0,0
13223,0,1.0079,1,16,0
13225,1,2.1782,0,5,0
13227,1,2.7615,1,7,0
13229,0,1.5412,0,3,0
13231,1,0.5274,0,0,0
13233,1,2.5814,0,10,0
13235,0,2.6936999999999998,1,2,0
13237,0,1.8084,0,4,0
13239,1,4.3497,0,0,0
13241,2,4.6683,0,6,0
13243,0,2.9507,0,2,0
13245,8,2.1726,4,32,0
13247,1,2.5304,1,21,0
13249,2,3.8045,0,0,0
13251,1,2.8641,0,3,0
13253,2,4.9444,1,1,0
13255,3,2.2488,1,11,0
13257,0,1.9285999999999999,1,4,0
13259,1,3.0207,0,1,0
13261,5,4.4032,1,7,0
13263,1,1.6141999999999999,0,0,0
13265,1,6.5062,0,0,0
13267,1,1.9774,0,4,0
13269,3,6.2344,0,2,0
13271,1,3.1526,0,4,0
13273,2,3.5166,0,1,0
13275,4,4.0494,1,13,0
13277,2,3.1985,1,10,0
13279,1,2.609,1,5,0
13281,0,4.1539,0,4,1
13283,1,1.4491,0,0,0
13285,0,2.4313000000000002,1,16,0
13287,2,5.0094,0,2,0
13289,1,1.2315,0,0,0
13291,0,2.8559,1,6,0
13293,1,2.6596,1,5,0
13295,2,1.5768,0,9,0
13297,2,1.7972000000000001,1,14,0
13299,1,2.7984999999999998,1,8,0
13301,1,1.9033,0,0,0
13303,2,2.9449,1,3,0
13305,1,2.6732,1,6,0
13307,0,3.8358,0,1,0
13309,1,1.2731,0,0,0
13311,1,1.9482,0,5,0
13313,0,1.8159999999999998,1,18,0
13315,1,2.3162,0,1,0
13317,0,2.0456,0,2,0
13319,2,4.4673,0,2,0
13321,0,1.4817,0,3,0
16001,19,2.0557,3,77,0
16003,1,2.3288,0,0,0
16005,8,2.7332,1,15,0
16007,1,6.5306,0,2,1
16009,6,6.452999999999999,0,0,0
16011,3,1.9226,0,6,0
16013,0,2.1719,0,5,0
16015,0,0.0,0,0,0
16017,3,2.1863,0,7,0
16019,1,1.8477999999999999,2,19,0
16021,1,3.2666,0,2,1
16023,0,0.0,0,0,0
16025,1,9.0416,0,0,0
16027,20,2.2188,2,28,1
16029,0,2.7952,0,2,0
16031,4,3.3292,0,4,0
16033,0,0.0,0,0,0
16035,0,1.1421000000000001,0,1,0
16037,1,4.635,0,0,1
16039,4,2.5444,0,3,0
16041,1,2.162,0,2,0
16043,4,5.3439,0,3,0
16045,1,2.7606,0,4,0
16047,0,4.6116,0,5,2
16049,0,0.0,0,0,0
16051,1,1.0043,0,2,0
16053,1,2.4577999999999998,0,5,0
16055,27,3.3193,2,26,0
16057,1,2.4933,0,8,1
16059,0,2.4916,0,2,0
16061,0,0.0,0,0,0
16063,0,0.0,0,0,0
16065,1,2.2552,1,7,0
16067,1,0.9506,0,1,0
16069,1,1.9798,1,6,0
16071,0,0.0,0,0,0
16073,5,5.9207,0,2,0
16075,3,2.5051,0,3,0
16077,1,2.6038,0,1,0
16079,2,4.6577,0,4,0
16081,0,0.8236,0,1,0
16083,9,2.6474,1,13,0
16085,0,2.6334,0,3,0
16087,4,6.8668,0,2,1
17001,8,3.0565,1,9,2
17003,3,5.2074,0,0,0
17005,0,2.4352,1,2,1
17007,1,1.1206,0,5,0
17009,0,1.5202,0,1,0
17011,0,1.5324,1,3,1
17013,0,0.0,0,0,0
17015,0,0.6991,0,1,0
17017,2,4.1162,0,3,0
17019,7,2.146,2,36,0
17021,2,2.786,0,5,2
17023,0,3.8858,0,5,1
17025,1,4.551,0,3,2
17027,0,2.1298,1,5,2
17029,3,2.3706,1,7,1
17031,216,1.7708,48,648,0
17033,0,2.6785,0,4,1
17035,1,2.7866,0,2,0
17037,2,1.6206,1,14,0
17039,0,1.2789,0,2,0
17041,0,1.0275,0,2,0
17043,12,1.7445,6,143,0
17045,0,2.3309,0,4,0
17047,1,1.5636999999999999,0,0,0
17049,1,4.4107,1,7,6
17051,1,2.8121,0,2,3
17053,0,1.5431,0,2,0
17055,2,2.3395,0,5,2
17057,0,2.0384,1,6,0
17059,1,8.285,0,1,2
17061,0,3.0843,0,4,0
17063,0,1.3711,1,6,0
17065,0,2.4643,0,1,1
17067,1,2.2589,0,3,0
17069,2,7.8513,0,1,0
17071,3,4.513999999999999,0,0,0
17073,0,2.0444,0,8,2
17075,1,1.8441,1,3,0
17077,12,4.9338999999999995,1,11,4
17079,0,2.0812,0,2,0
17081,1,3.1844,2,7,2
17083,0,1.8371,1,3,0
17085,0,1.8837000000000002,0,4,0
17087,2,4.0267,0,3,0
17089,18,1.5026000000000002,5,57,0
17091,2,1.7294,2,15,0
17093,0,1.3955,0,18,0
17095,1,2.0121,2,7,0
17097,10,1.7659,5,108,0
17099,1,2.0245,2,18,1
17101,0,1.9135,0,2,1
17103,0,1.1732,1,3,0
17105,0,1.6831,1,5,0
17107,1,2.0966,0,3,2
17109,0,1.6844999999999999,1,4,0
17111,3,1.5596,2,43,0
17113,2,1.8074,2,27,0
17115,8,2.4998,2,16,0
17117,8,5.3421,0,10,6
17119,7,2.0915,4,44,0
17121,1,3.2254,1,10,0
17123,0,2.6228,0,2,1
17125,0,1.4971,0,2,0
17127,1,2.9044,0,2,1
17129,0,2.4598,0,3,0
17131,0,1.2955999999999999,0,2,0
17133,0,2.3097,0,8,0
17135,0,2.8155,0,5,3
17137,2,2.674,1,4,2
17139,2,2.7584,0,2,0
17141,0,0.7898,0,4,0
17143,7,2.5673,3,36,0
17145,1,1.9123999999999999,0,3,0
17147,0,1.2237,0,2,0
17149,1,3.2132,0,3,1
17151,1,2.3941,0,0,0
17153,2,5.6232,0,1,0
17155,0,0.0,0,0,0
17157,1,1.8879000000000001,0,5,0
17159,1,3.2231,1,3,0
17161,4,2.185,2,25,0
17163,16,2.1179,4,35,0
17165,2,4.2569,1,6,1
17167,9,2.5171,2,38,0
17169,0,2.9551,0,2,0
17171,0,2.0198,0,1,0
17173,0,1.8489,1,3,0
17175,1,1.8719999999999999,0,0,0
17177,0,1.5731000000000002,1,6,0
17179,2,2.2003,1,26,0
17181,1,3.6029999999999998,0,4,1
17183,1,1.716,1,9,2
17185,0,1.7361,0,1,1
17187,0,1.1874,0,2,0
17189,0,2.8804,0,3,1
17191,1,2.4669,0,3,0
17193,2,3.6936,0,3,0
17195,3,2.1749,1,8,0
17197,9,1.5201,3,93,0
17199,5,3.7539,2,13,5
17201,11,1.9818,3,42,0
17203,0,1.0401,0,4,0
18001,0,1.9566,0,6,1
18003,3,1.7664,6,58,0
18005,1,1.9098000000000002,1,14,0
18007,0,1.1431,0,1,0
18009,0,0.8505,0,1,0
18011,2,2.6532,1,15,0
18013,0,1.3252,0,2,0
18015,4,3.4556,0,2,1
18017,2,2.9186,1,8,0
18019,4,2.5359,2,24,0
18021,0,2.6692,0,6,1
18023,1,1.8519,0,5,0
18025,2,3.7818,0,2,0
18027,0,2.3987,1,4,3
18029,0,2.0219,1,8,1
18031,0,1.8826,0,5,0
18033,0,1.1501000000000001,1,4,0
18035,16,3.3294,1,21,0
18037,0,2.8079,1,10,1
18039,9,2.5201000000000002,2,41,0
18041,1,2.5972,1,3,1
18043,1,2.5471,2,17,0
18045,0,3.0589,0,5,0
18047,0,0.4394,0,1,0
18049,0,3.0039,0,6,0
18051,2,2.6739,0,7,0
18053,4,2.2807,1,10,0
18055,2,1.8796,0,4,0
18057,3,2.1301,6,63,0
18059,1,1.6631,1,11,0
18061,1,1.4809,0,5,0
18063,0,1.8789,2,30,0
18065,1,1.8761,1,6,1
18067,1,2.6652,2,19,0
18069,0,1.9167999999999998,1,6,0
18071,2,3.1652,1,10,1
18073,0,2.3836,0,8,0
18075,2,2.9360000000000004,0,4,0
18077,0,3.4047,1,8,2
18079,0,2.8844,0,7,1
18081,4,2.4025,1,33,0
18083,2,2.7327,1,6,1
18085,0,1.6360999999999999,1,12,0
18087,0,1.5146,0,4,2
18089,33,2.3893,9,74,0
18091,3,2.093,2,18,0
18093,0,1.9837,0,9,0
18095,19,3.3959,2,23,0
18097,81,2.9234999999999998,8,193,0
18099,0,2.5941,1,11,0
18101,0,1.9503,0,2,0
18103,1,1.1263,0,3,0
18105,1,1.5495,2,20,0
18107,2,2.3475,1,6,0
18109,0,1.5605,1,10,0
18111,0,1.4302000000000001,0,2,0
18113,0,1.8851,1,8,0
18115,0,1.7021,0,1,0
18117,2,3.5631,0,4,1
18119,1,1.9232,0,3,0
18121,2,3.5425,0,3,1
18123,0,1.0434,0,2,0
18125,0,2.4215,0,1,2
18127,10,2.0541,1,24,0
18129,0,0.3933,0,1,0
18131,0,2.4286,0,3,0
18133,1,1.8629,0,6,0
18135,0,2.838,0,5,2
18137,0,1.7652999999999999,0,5,0
18139,1,2.4124,0,3,0
18141,11,2.5016,3,54,0
18143,1,2.5133,0,5,0
18145,2,2.2357,1,7,0
18147,0,0.4932,0,1,0
18149,3,3.9139,1,4,1
18151,0,1.4453,0,5,0
18153,0,2.4191,0,4,1
18155,0,0.9301,0,1,0
18157,3,1.9414,2,33,0
18159,1,1.3203,0,1,0
18161,1,4.2529,0,2,0
18163,4,2.8106999999999998,2,45,0
18165,3,3.2262,0,2,0
18167,4,2.8962,1,25,1
18169,0,1.9357,0,6,0
18171,0,0.0,0,0,0
18173,0,2.3810000000000002,2,13,0
18175,1,1.7833999999999999,0,4,0
18177,5,2.8839,1,13,0
18179,1,1.767,1,3,0
18181,3,3.3192,0,5,0
18183,0,1.7666,1,5,0
19001,0,1.3982,0,0,1
19003,0,2.7762000000000002,0,1,0
19005,0,3.6531000000000002,0,3,2
19007,2,3.2191,0,2,0
19009,0,1.8195000000000001,0,1,0
19011,1,2.7296,0,6,0
19013,1,2.0575,3,23,0
19015,0,2.2871,0,6,0
19017,0,2.7931,0,6,1
